STRAIN	PLATE	POSITION	REPLICATE	YFP.MEDIAN.R2WT.MEAN	YFP.MEDIAN.R2WT.SD	YFP.SD.R2WT.MEAN	YFP.SD.R2WT.SD	YFP.CV.R2WT.MEAN	YFP.CV.R2WT.SD	YFP.MEDIAN.R2OWN.MEAN	YFP.MEDIAN.R2OWN.SD	YFP.SD.R2OWN.MEAN	YFP.SD.R2OWN.SD	YFP.CV.R2OWN.MEAN	YFP.CV.R2OWN.SD	pvalues.median.r2wt	pvalues.median.r2own	pvalues.sd.r2wt	pvalues.sd.r2own	pvalues.cv.r2wt	pvalues.cv.r2own
ctrl	02	A01	3	0.997435719403366	0.0327817078752446	0.98931071055724	0.250846186751337	0.987646745071115	0.228781510034086	0.997435719403366	0.0327817078752446	0.98931071055724	0.250846186751337	0.987646745071115	0.228781510034086	1	1	1	1	1	1
ctrl	03	A01	4	1.00540208582122	0.0487220130441353	0.985579830004097	0.188947060120122	0.97545092731604	0.142716434132614	1.00540208582122	0.0487220130441353	0.985579830004097	0.188947060120122	0.97545092731604	0.142716434132614	1	1	1	1	1	1
ctrl	04	A01	3	0.988738823619235	0.0188989098598403	0.926732666138241	0.19750170497878	0.934364613271024	0.18397646094442	0.988738823619235	0.0188989098598403	0.926732666138241	0.19750170497878	0.934364613271024	0.18397646094442	1	1	1	1	1	1
ctrl	05	A01	4	1.01698796855717	0.0292644994229027	1.0268114762324	0.195455746867791	1.00587381893435	0.16954614018215	1.01698796855717	0.0292644994229027	1.0268114762324	0.195455746867791	1.00587381893435	0.16954614018215	1	1	1	1	1	1
ctrl	06	A01	3	0.994190440290713	0.0149153231321091	1.05018837228778	0.10490352210648	1.05464683565806	0.0912144002664063	0.994190440290713	0.0149153231321091	1.05018837228778	0.10490352210648	1.05464683565806	0.0912144002664063	1	1	1	1	1	1
ctrl	07	A01	4	1.00051711996232	0.0276224772681793	1.03080528987229	0.0653452226111546	1.02923908445014	0.0531092030568143	1.00051711996232	0.0276224772681793	1.03080528987229	0.0653452226111546	1.02923908445014	0.0531092030568143	1	1	1	1	1	1
ctrl	08	A01	4	1.00633200520031	0.00777328117000979	1.05945038803735	0.148942847875489	1.0511694260405	0.140937137488482	1.00633200520031	0.00777328117000979	1.05945038803735	0.148942847875489	1.0511694260405	0.140937137488482	1	1	1	1	1	1
ctrl	11	A01	4	0.997240148985415	0.0381634230037325	1.02705889033042	0.0731982397746379	1.02865536821223	0.0508970434146431	0.997240148985415	0.0381634230037325	1.02705889033042	0.0731982397746379	1.02865536821223	0.0508970434146431	1	1	1	1	1	1
ctrl	12	A01	3	1.02950026378719	0.0426328076363473	1.01855050226493	0.115706322768552	0.986590831586614	0.0729484473804531	1.02950026378719	0.0426328076363473	1.01855050226493	0.115706322768552	0.986590831586614	0.0729484473804531	1	1	1	1	1	1
ctrl	13	A01	4	0.98928349175719	0.0424611672411441	0.94731410714524	0.145011515135603	0.954781587779223	0.119989946937877	0.98928349175719	0.0424611672411441	0.94731410714524	0.145011515135603	0.954781587779223	0.119989946937877	1	1	1	1	1	1
ctrl	14	A01	3	0.980474917728779	0.0350630256219997	0.935636665681299	0.110967841876014	0.951730619080677	0.0810886003228989	0.980474917728779	0.0350630256219997	0.935636665681299	0.110967841876014	0.951730619080677	0.0810886003228989	1	1	1	1	1	1
ctrl	15	A01	4	1.00534974680991	0.0106276374066833	0.960529980086218	0.0690491285983962	0.954372912763446	0.0624835236466068	1.00534974680991	0.0106276374066833	0.960529980086218	0.0690491285983962	0.954372912763446	0.0624835236466068	1	1	1	1	1	1
