STRAIN	PLATE	POSITION	REPLICATE	YFP.MEDIAN.R2WT.MEAN	YFP.MEDIAN.R2WT.SD	YFP.SD.R2WT.MEAN	YFP.SD.R2WT.SD	YFP.CV.R2WT.MEAN	YFP.CV.R2WT.SD	YFP.MEDIAN.R2OWN.MEAN	YFP.MEDIAN.R2OWN.SD	YFP.SD.R2OWN.MEAN	YFP.SD.R2OWN.SD	YFP.CV.R2OWN.MEAN	YFP.CV.R2OWN.SD	pvalues.median.r2wt	pvalues.median.r2own	pvalues.sd.r2wt	pvalues.sd.r2own	pvalues.cv.r2wt	pvalues.cv.r2own
ctrl	01	A01	4	0.986072677845287	0.0329511792737791	0.960237195999011	0.0972075681741976	0.978170746470812	0.0747107688016669	0.986072677845287	0.0329511792737791	0.960237195999011	0.0972075681741976	0.978170746470812	0.0747107688016669	1	1	1	1	1	1
ctrl	02	A01	4	0.988191974597947	0.0266882111855988	0.983744115464898	0.063904974091882	1.00017079148245	0.0643762918548057	0.988191974597947	0.0266882111855988	0.983744115464898	0.063904974091882	1.00017079148245	0.0643762918548057	1	1	1	1	1	1
ctrl	03	A01	3	0.999550859591623	0.010806027307166	0.976595539561246	0.0305182500194675	0.975615177700696	0.0199478582214914	0.999550859591623	0.010806027307166	0.976595539561246	0.0305182500194675	0.975615177700696	0.0199478582214914	1	1	1	1	1	1
ctrl	04	A01	4	0.995807896564184	0.0169003801560011	0.943926941143603	0.13446807649194	0.947164005640046	0.123103157945078	0.995807896564184	0.0169003801560011	0.943926941143603	0.13446807649194	0.947164005640046	0.123103157945078	1	1	1	1	1	1
ctrl	05	A01	3	0.990867116936655	0.0226831716921305	0.989726477140846	0.0794648008665975	1.0019461671359	0.0762492432599213	0.990867116936655	0.0226831716921305	0.989726477140846	0.0794648008665975	1.0019461671359	0.0762492432599213	1	1	1	1	1	1
ctrl	06	A01	4	1.00967499611555	0.0182543722005613	1.0442660623169	0.072815275893359	1.02758981178999	0.0663757886793076	1.00967499611555	0.0182543722005613	1.0442660623169	0.072815275893359	1.02758981178999	0.0663757886793076	1	1	1	1	1	1
ctrl	07	A01	4	0.998111934610959	0.0103052478814648	1.01969965250173	0.0882676194683184	1.02044880382872	0.0788340304885078	0.998111934610959	0.0103052478814648	1.01969965250173	0.0882676194683184	1.02044880382872	0.0788340304885078	1	1	1	1	1	1
ctrl	08	A01	4	0.998250158967534	0.0173987344067153	0.984961105252114	0.0930586068344037	0.985784555457068	0.0869255806494503	0.998250158967534	0.0173987344067153	0.984961105252114	0.0930586068344037	0.985784555457068	0.0869255806494503	1	1	1	1	1	1
ctrl	09	A01	4	0.996824626695637	0.0104908252822346	1.00804262672845	0.063559360005914	1.01133212889327	0.0633019280460729	0.996824626695637	0.0104908252822346	1.00804262672845	0.063559360005914	1.01133212889327	0.0633019280460729	1	1	1	1	1	1
ctrl	10	A01	4	1.00925121899983	0.019709131794235	1.08151498308439	0.0901968503020715	1.06437873540047	0.0740530061262707	1.00925121899983	0.019709131794235	1.08151498308439	0.0901968503020715	1.06437873540047	0.0740530061262707	1	1	1	1	1	1
ctrl	11	A01	3	0.999552424193775	0.00920170250775077	1.02257821717971	0.0574145454468198	1.02202702755752	0.0645564182965209	0.999552424193775	0.00920170250775077	1.02257821717971	0.0574145454468198	1.02202702755752	0.0645564182965209	1	1	1	1	1	1
