"strain","median.mean","median.sd","sd.mean","sd.sd","genotype","expids","treatment"
"EMS",1.00579792444618,0.00165858273548469,1.000869808675,0.0577960852116297,"wt.1","0","ems"
"EMS",1.00314521753044,0.00836949010644932,1.04996350512658,0.0882046385979754,"wt.1","0","ems"
"SHAM",1.00180803097454,0.00497452588366181,1.01855841249012,0.0821787010897597,"wt.1","0","sham"
"EMS",0.99578503387813,0.00605237330622085,1.0139988177978,0.0669385351124106,"wt.1","0","ems"
"EMS",1.02760511850717,0.0069788158928545,1.03799661764134,0.043810770394984,"wt.1","0","ems"
"EMS",1.00403270807184,0.00168180416812464,0.995434801545521,0.0167314716703444,"wt.1","0","ems"
"EMS",0.99248089980384,0.0042101830375735,0.974105754561319,0.0329005170234815,"wt.1","0","ems"
"EMS",1.03678563712805,0.00484249099927135,1.10856861443411,0.0703912438925462,"wt.1","0","ems"
"EMS",0.995304562290649,0.00612740131415569,1.09270784663951,0.0243636950728002,"wt.1","0","ems"
"EMS",1.00288434799272,0.0049635243956974,0.972964783055735,0.0283259340846178,"wt.1","0","ems"
"EMS",1.01458384275297,0.00100010896607153,1.00388210016005,0.0290434412998813,"wt.1","0","ems"
"EMS",0.985935529540036,0.00195080523516486,0.976640814103414,0.0146626651901795,"wt.1","0","ems"
"EMS",0.982562587282514,0.00757111717968354,0.976229691638443,0.0528647546398486,"wt.1","0","ems"
"EMS",1.01532202792438,0.00133641840610847,0.996695244205639,0.0588257159151554,"wt.1","0","ems"
"SHAM",0.998476250435537,0.0040766610980019,0.985550126673867,0.027222622993075,"wt.1","0","sham"
"EMS",0.996703114027923,0.00281133608848094,0.963749970992266,0.015107158068784,"wt.1","0","ems"
"EMS",1.01594646907382,0.0253632499028896,1.07551747269243,0.0570446290742065,"wt.1","0","ems"
"EMS",1.0200378974793,0.0118422265182076,0.972449968030124,0.0419665404539783,"wt.1","0","ems"
"EMS",0.985122060676288,0.00555173103776034,1.01696802581944,0.0404064094716014,"wt.1","0","ems"
"EMS",0.980622377814297,0.0296900456997025,0.848370313570302,0.0687580191766783,"wt.1","0","ems"
"SHAM",0.997376185474795,0.00950719588662698,0.970236229502486,0.0220310058483322,"wt.1","0","sham"
"EMS",0.880838732394662,0.0100364371365873,0.836644011766512,0.0541845898047209,"wt.1","0","ems"
"EMS",0.998883029734636,0.000642783322132048,1.04234805451184,0.0522177284467295,"wt.1","0","ems"
"EMS",1.01184171240365,0.00558251030020055,0.918892175755918,0.0328778240679518,"wt.1","0","ems"
"EMS",1.00578691847968,0.00382016280313593,0.978924856477855,0.0608117411529899,"wt.1","0","ems"
"EMS",1.01877370853803,0.00702482066945598,1.10899791191957,0.0782476975730042,"wt.1","0","ems"
"SHAM",1.00543223192149,0.00145222540601383,1.02122236843016,0.0343061193583468,"wt.1","0","sham"
"EMS",1.03014772458726,0.00429307886185254,1.06759049150476,0.0307495523068698,"wt.1","0","ems"
"EMS",1.05431639544044,0.0144403207286513,0.983236351624116,0.0341278823803783,"wt.1","0","ems"
"EMS",0.999970521189554,0.00957097230552952,0.972306360949231,0.00440890916502821,"wt.1","0","ems"
"EMS",1.00428544214089,0.005109346083265,0.967490530441289,0.0332746396229194,"wt.1","0","ems"
"EMS",0.982080229221178,0.00767349227712202,0.963529038303331,0.0527327545691077,"wt.1","0","ems"
"EMS",0.896552080728907,0.0138974144272164,0.768867224727997,0.0550026686404025,"wt.1","0","ems"
"EMS",0.999793130373438,0.0065625622398894,1.04515000305789,0.0253136988571003,"wt.1","0","ems"
"EMS",1.00906668864566,0.00432188744951278,1.10813398773938,0.0642388608046768,"wt.1","0","ems"
"EMS",0.976916948604736,0.00297702285167778,0.98688080830282,0.0356846518152021,"wt.1","0","ems"
